a1,a2,a3,a4
6.046458381,6.04106526,5.962007323,6.070684887
6.158684327,6.15166386,6.139995734,6.167205578
6.225211128,6.10863475,6.166993549,6.082548411
5.963926796,5.953730413,5.957012768,5.946989672
5.983270021,5.952666538,5.972831874,5.95276372
5.885595661,5.672332924,5.744116801,5.776949882
6.026755071,6.058079167,6.031549058,6.025309141
5.826482806,5.945194513,5.929555662,5.952135654
5.772338591,5.433268914,5.477512532,5.26596619
5.822378789,5.915262976,5.95426601,5.777328167
5.780663645,5.88565563,5.88930894,5.573369712
6.076024689,6.059512449,6.08200729,6.145190106
6.050058596,6.069914206,6.014536381,6.109508284
6.284650633,6.132712097,6.274000079,6.189401292
5.836274957,5.879770556,5.865453043,5.981338044
5.978974207,6.008256813,5.979780053,5.982161483
5.943228623,5.951478028,5.965271867,6.023488548
5.758118569,5.758579969,5.7764899,5.743033445
5.879894939,5.840924501,5.802940887,5.7594092
6.058272546,6.050674312,6.075194766,5.994547577
5.846151962,5.874119334,5.81873885,5.813762793
6.026833627,6.035456262,6.036779072,6.00921623
5.96687775,5.969902152,5.976217052,5.995526415
5.921734152,5.936868027,5.852269994,5.853655673
6.124922748,6.026801827,6.043379065,6.154355354
5.945695481,5.974520648,5.941182087,5.936769605
5.974665222,5.903004062,5.979589088,5.999220729
6.121666088,6.137593163,6.05517045,6.098542646
6.198619068,6.304340848,6.230900359,6.283878432
6.122737456,6.085267231,6.146455568,6.144950752
6.106664658,6.100825402,6.125392159,6.134148084
5.955685786,5.968210301,5.850346239,5.938366518
5.842392732,5.809773917,5.807440395,5.845652316
6.184192243,6.18528797,6.180167266,6.196091981
6.23492987,6.259019273,6.228830439,6.120439468
5.953349438,5.950955285,5.966378065,5.959535533
6.006650608,6.074226051,5.959313381,6.043766882
5.99188696,5.980689849,5.981819257,5.970682899
5.999407452,6.005735778,5.985448903,5.976030018
5.955979209,5.967533644,5.925510563,5.971599092
5.88115982,5.969089312,5.868457374,5.93616349
6.191891064,6.166591011,6.170746422,6.188119489
5.814591736,5.767469257,5.838195801,5.811583802
5.927753666,5.904600712,5.903327424,5.878525305
6.161225984,6.14109746,6.11633159,6.096431953
5.99118759,5.995375375,6.011987144,6.00400941
5.948763641,5.991263959,5.956481492,5.941895707
5.909848213,5.936915873,5.844305951,5.917742254
6.166525605,6.170106603,6.130157659,6.201290775
5.934573397,5.958353817,5.944733295,5.891591182
5.801632803,5.841706767,5.970070957,5.928079701
5.971290052,5.994448892,5.98295266,6.011626571
6.006130722,6.111756082,6.005247253,6.03700559
6.251264609,6.317624343,6.247042596,6.421017605
5.84685809,5.817847908,5.817327082,5.833613393
5.828231627,5.80567978,5.819315483,5.840916582
5.694770773,5.715809917,5.720981805,5.711189961
5.541499022,5.535229328,5.532666805,5.420734954
5.516870354,5.54805639,5.484477956,5.535925426
5.897187137,5.949157111,6.00597944,6.011384867
5.603492675,5.628919148,5.644442039,5.655562961
6.307201036,6.09448304,6.268994161,6.259615553
5.885827149,5.85072597,5.871110644,5.817475581
5.801229103,5.786957728,5.813835372,5.816040857
5.986987661,5.983211293,5.968055532,5.950108394
6.031673712,5.985820958,6.004541183,5.981469529
6.147020503,6.148148052,6.030926616,6.128690998
6.09345581,6.171408843,6.11567248,5.991284256
6.011036116,6.023359074,6.064677312,6.048657412
5.907713235,5.894912429,5.910440205,5.847263392
6.003676713,5.954486414,5.968136478,5.972299126
6.503341976,6.487611643,6.485672212,6.537973139
6.063057601,6.026339911,6.050270564,6.089531587
6.081564979,6.095306482,6.090703498,6.090781025
6.473718496,6.156669487,6.384777417,6.441990059
6.028801069,6.043590621,6.062067327,6.084408919
6.045221173,6.017344674,6.101467062,5.936880698
5.802380785,5.829496906,5.829482845,5.842861832
5.888138591,5.870599484,5.874952378,5.903547988
6.161780727,6.076126122,6.032004037,6.038371842
6.50018469,6.443197628,6.428904528,6.411421033
5.80247219,5.819379543,5.799183583,5.846569164
6.068512325,6.060291871,6.068594419,6.064162895
6.078599435,6.124514349,6.122787937,6.069528842
6.029868431,6.018402975,5.99173075,6.056005434
6.130256382,6.168489934,6.154955368,6.094938587
6.385541408,6.368031339,6.290860532,6.29488505
5.997471628,5.956327185,5.971463397,6.00629596
5.858774397,5.88769019,5.88190151,5.781165967
6.010700589,6.125044159,5.991617293,6.018457323
6.199604278,6.195390563,6.201930119,6.193943731
6.31491267,6.149082644,6.248445285,6.185914831
6.027034085,6.041178647,6.059590857,6.012637675
6.169291282,6.051436272,6.20865326,6.194225589
5.945475844,5.889497831,5.871753172,5.92023126
